glottocode,language_name,lang_family,endangerment_level,lang_family_count,domains_of_use,speaker_number,speaker_number_trends,transmission,elcat_endangerment,country_count,max_gdp_percapita,avg_gdp_percapita,max_internet,avg_internet,max_urban,avg_urban,max_urban_growth,avg_urban_growth,official,regional,national,minority,widely_spoken,area_Africa,area_Australia,area_Eurasia,area_North America,area_Papunesia,area_South America
tana1288,Tanahmerah,,1,0.0,,3,,,endangered,1,4925.43048751861,4925.43048751861,72.78075544,72.78075544,58.7509635387997,58.7509635387997,1.89719567962498,1.89719567962498,0,0,0,0,0,0,0,0,0,1,0
kuna1268,Kunama,,0,0.0,,,,,,3,1133.88279681719,1059.2452314164075,21.94129944,18.29689979666667,34.8673015510839,31.008712638609996,4.99846973014755,2.470455011071913,0,0,1,0,0,1,0,0,0,0,0
kara1497,Karami,,5,0.0,,,,,,1,3006.70564478923,3006.70564478923,18.81159973,18.81159973,15.4061816403333,15.4061816403333,4.06785501758394,4.06785501758394,0,0,0,0,0,0,0,0,0,1,0
siam1242,Siamou,,0,0.0,,,,,,3,2727.8935220697,1601.5018881655903,41.43219902,35.49546608,53.9733113940142,37.972041667300964,4.87178721321357,4.1869016184783066,0,0,0,0,0,1,0,0,0,0,0
kuja1239,Kujarge,,1,0.0,,3,,,endangered,1,961.55975562506,961.55975562506,12.62689972,12.62689972,26.9315292389497,26.9315292389497,7.20534416894141,7.20534416894141,0,0,0,0,0,1,0,0,0,0,0
abun1252,Abun,,1,0.0,,2,,,threatened,1,4925.43048751861,4925.43048751861,72.78075544,72.78075544,58.7509635387997,58.7509635387997,1.89719567962498,1.89719567962498,0,0,0,0,0,0,0,0,0,1,0
cand1248,Candoshi-Shapra,,2,0.0,,2,0,0,threatened,1,8452.37167056621,8452.37167056621,81.95705992,81.95705992,85.1912729600355,85.1912729600355,1.57651042813743,1.57651042813743,0,0,0,0,0,0,0,0,0,0,1
hatt1246,Hattic,,5,0.0,,,,,,1,15892.7157287241,15892.7157287241,87.3078767,87.3078767,89.3443122873887,89.3443122873887,0.587160894947427,0.587160894947427,0,0,0,0,0,0,0,1,0,0,0
kena1236,Kenaboi,,5,0.0,,,,,,1,11874.4273684245,11874.4273684245,98.0206059,98.0206059,76.9170296648992,76.9170296648992,1.83816120540281,1.83816120540281,0,0,0,0,0,0,0,1,0,0,0
basq1248,Basque,,2,0.0,,,,,,2,46103.0840855884,40714.9261962581,95.7574516,92.20563399,80.315199821207,79.55758745880931,1.25395229298248,0.77037555470256,0,1,0,1,0,0,0,1,0,0,0
momu1241,Momuna,,1,0.0,,2,,,threatened,1,4925.43048751861,4925.43048751861,72.78075544,72.78075544,58.7509635387997,58.7509635387997,1.89719567962498,1.89719567962498,0,0,0,0,0,0,0,0,0,1,0
kano1245,Kanoê,,4,0.0,,5,,,critically endangered,1,10310.5488778166,10310.5488778166,84.46347227,84.46347227,87.8958549533146,87.8958549533146,0.724401697459186,0.724401697459186,0,0,0,0,0,0,0,0,0,0,1
yuwa1244,Hoti,,1,0.0,,3,,,endangered,1,4217.59102643391,4217.59102643391,76.67890167,76.67890167,89.285859883201,89.285859883201,0.409818406418075,0.409818406418075,0,0,0,0,0,0,0,0,0,0,1
